             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           1883537     short 247a8333  jjg9482 PD       0:00      1 (Dependency)
           1883451     short 38c1962e  jjg9482 PD       0:00      1 (Dependency)
           1883449     short 38c1962e  jjg9482 PD       0:00      1 (Dependency)
           1883448     short 38c1962e  jjg9482 PD       0:00      1 (Dependency)
           1883447     short 38c1962e  jjg9482 PD       0:00      1 (Dependency)
           1883446     short 38c1962e  jjg9482 PD       0:00      1 (Dependency)
           1883445     short 38c1962e  jjg9482 PD       0:00      1 (Dependency)
           1883444     short 38c1962e  jjg9482 PD       0:00      1 (Dependency)
           1883334     short 101fbccc  jjg9482 PD       0:00      1 (Dependency)
           1883333     short 101fbccc  jjg9482 PD       0:00      1 (Dependency)
           1883332     short 101fbccc  jjg9482 PD       0:00      1 (Dependency)
           1883331     short 101fbccc  jjg9482 PD       0:00      1 (Dependency)
           1883330     short 101fbccc  jjg9482 PD       0:00      1 (Dependency)
           1883329     short 101fbccc  jjg9482 PD       0:00      1 (Dependency)
           1883328     short 101fbccc  jjg9482 PD       0:00      1 (Dependency)
           1883243     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883242     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883241     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883240     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883237     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883235     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883234     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883232     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883229     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883228     short baf3897a  jjg9482 PD       0:00      1 (Dependency)
           1883129     short d3fbf47a  jjg9482 PD       0:00      1 (Dependency)
           1883126     short d3fbf47a  jjg9482 PD       0:00      1 (Dependency)
           1883124     short d3fbf47a  jjg9482 PD       0:00      1 (Dependency)
           1883122     short d3fbf47a  jjg9482 PD       0:00      1 (Dependency)
